,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT,MEDV,CAT.MEDV,,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT,MEDV,CAT.MEDV
,0.25387,0,6.91,0,0.448,5.399,95.3,5.87,3,233,17.9,30.81,14.4,0,,0.002782402,0,0.23643695,0,0.12962963,0.352174746,0.951596292,0.431066937,0.086956522,0.08778626,0.563829787,0.802428256,0.208888889,0
,0.21977,0,6.91,0,0.448,5.602,62,6.0877,3,233,17.9,16.2,19.4,0,,0.002399127,0,0.23643695,0,0.12962963,0.391071086,0.608650875,0.450863425,0.086956522,0.08778626,0.563829787,0.399282561,0.32,0
,0.08873,21,5.64,0,0.439,5.963,45.7,6.8147,4,243,16.8,13.45,19.7,0,,0.000926269,0.21,0.189882698,0,0.111111111,0.460241426,0.440782698,0.516972965,0.130434783,0.106870229,0.446808511,0.323399558,0.326666667,0
,0.04337,21,5.64,0,0.439,6.115,63,6.8147,4,243,16.8,9.43,20.5,0,,0.000416433,0.21,0.189882698,0,0.111111111,0.489365779,0.618949537,0.516972965,0.130434783,0.106870229,0.446808511,0.212472406,0.344444444,0
,0.0536,21,5.64,0,0.439,6.511,21.1,6.8147,4,243,16.8,5.28,25,0,,0.000531416,0.21,0.189882698,0,0.111111111,0.565242384,0.187435633,0.516972965,0.130434783,0.106870229,0.446808511,0.097958057,0.444444444,0
,0.04981,21,5.64,0,0.439,5.998,21.4,6.8147,4,243,16.8,8.43,23.4,0,,0.000488817,0.21,0.189882698,0,0.111111111,0.466947691,0.190525232,0.516972965,0.130434783,0.106870229,0.446808511,0.184878587,0.408888889,0
,0.0136,75,4,0,0.41,5.888,47.6,7.3197,3,469,21.1,14.8,18.9,0,,8.18254E-05,0.75,0.129765396,0,0.051440329,0.445870856,0.460350154,0.562894998,0.086956522,0.538167939,0.904255319,0.360651214,0.308888889,0
,0.01311,90,1.22,0,0.403,7.249,21.9,8.6966,5,226,17.9,4.81,35.4,1,,7.6318E-05,0.9,0.027859238,0,0.037037037,0.706648783,0.195674562,0.688103011,0.173913043,0.074427481,0.563829787,0.084988962,0.675555556,1
,0.02055,85,0.74,0,0.41,6.383,35.7,9.1876,2,313,17.3,5.77,24.7,0,,0.000159942,0.85,0.01026393,0,0.051440329,0.540716612,0.337796087,0.732751957,0.043478261,0.240458015,0.5,0.111479029,0.437777778,0
,0.01432,100,1.32,0,0.411,6.816,40.5,8.3248,5,256,15.1,3.95,31.6,1,,8.99181E-05,1,0.031524927,0,0.053497942,0.623682698,0.38722966,0.654293483,0.173913043,0.131679389,0.265957447,0.061258278,0.591111111,1
,0.15445,25,5.13,0,0.453,6.145,29.2,7.8148,8,284,19.7,6.86,23.3,0,,0.001664945,0.25,0.171187683,0,0.139917695,0.495114007,0.270854789,0.607916777,0.304347826,0.185114504,0.755319149,0.141556291,0.406666667,0
,0.10328,25,5.13,0,0.453,5.927,47.2,6.932,8,284,19.7,9.22,19.6,0,,0.001089807,0.25,0.171187683,0,0.139917695,0.453343552,0.45623069,0.527639608,0.304347826,0.185114504,0.755319149,0.206677704,0.324444444,0
,0.14932,25,5.13,0,0.453,5.741,66.2,7.2254,8,284,19.7,13.15,18.7,0,,0.001607286,0.25,0.171187683,0,0.139917695,0.417704541,0.651905252,0.554319854,0.304347826,0.185114504,0.755319149,0.315121413,0.304444444,0
,0.17171,25,5.13,0,0.453,5.966,93.4,6.8185,8,284,19.7,14.44,16,0,,0.001858944,0.25,0.171187683,0,0.139917695,0.460816248,0.932028836,0.517318517,0.304347826,0.185114504,0.755319149,0.350717439,0.244444444,0
,0.11027,25,5.13,0,0.453,6.456,67.8,7.2255,8,284,19.7,6.73,22.2,0,,0.001168373,0.25,0.171187683,0,0.139917695,0.554703966,0.66838311,0.554328947,0.304347826,0.185114504,0.755319149,0.137969095,0.382222222,0
,0.1265,25,5.13,0,0.453,6.762,43.4,7.9809,8,284,19.7,9.5,25,0,,0.001350794,0.25,0.171187683,0,0.139917695,0.613335888,0.417095778,0.623021033,0.304347826,0.185114504,0.755319149,0.214403974,0.444444444,0
,0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216,18.6,8.05,33,1,,0.000148252,0.175,0.03372434,0,0.06399177,0.678865683,0.582904222,0.735961953,0.086956522,0.055343511,0.638297872,0.174392936,0.622222222,1
,0.03584,80,3.37,0,0.398,6.29,17.8,6.6115,4,337,16.1,4.67,23.5,0,,0.000331798,0.8,0.106671554,0,0.026748971,0.522897107,0.153450051,0.49849503,0.130434783,0.286259542,0.372340426,0.081125828,0.411111111,0
,0.04379,80,3.37,0,0.398,5.787,31.1,6.6115,4,337,16.1,10.24,19.4,0,,0.000421154,0.8,0.106671554,0,0.026748971,0.42651849,0.290422245,0.49849503,0.130434783,0.286259542,0.372340426,0.2348234,0.32,0
,0.05789,12.5,6.07,0,0.409,5.878,21.4,6.498,4,345,18.9,8.1,22,0,,0.000579634,0.125,0.205645161,0,0.049382716,0.443954781,0.190525232,0.48817394,0.130434783,0.301526718,0.670212766,0.175772627,0.377777778,0
,0.13554,12.5,6.07,0,0.409,5.594,36.8,6.498,4,345,18.9,13.09,17.4,0,,0.001452402,0.125,0.205645161,0,0.049382716,0.389538226,0.349124614,0.48817394,0.130434783,0.301526718,0.670212766,0.313465784,0.275555556,0
,0.12816,12.5,6.07,0,0.409,5.885,33,6.498,4,345,18.9,8.79,20.9,0,,0.001369452,0.125,0.205645161,0,0.049382716,0.445296034,0.309989701,0.48817394,0.130434783,0.301526718,0.670212766,0.194812362,0.353333333,0
,0.08826,0,10.81,0,0.413,6.417,6.6,5.2873,4,305,19.2,6.72,24.2,0,,0.000920986,0,0.379398827,0,0.057613169,0.54723127,0.038105046,0.378079277,0.130434783,0.22519084,0.70212766,0.137693157,0.426666667,0
,0.15876,0,10.81,0,0.413,5.961,17.5,5.2873,4,305,19.2,9.88,21.7,0,,0.001713389,0,0.379398827,0,0.057613169,0.45985821,0.150360453,0.378079277,0.130434783,0.22519084,0.70212766,0.224889625,0.371111111,0
,0.09164,0,10.81,0,0.413,6.065,7.8,5.2873,4,305,19.2,5.52,22.8,0,,0.000958976,0,0.379398827,0,0.057613169,0.4797854,0.05046344,0.378079277,0.130434783,0.22519084,0.70212766,0.104580574,0.395555556,0
,0.19539,0,10.81,0,0.413,6.245,6.2,5.2873,4,305,19.2,7.54,23.4,0,,0.002125101,0,0.379398827,0,0.057613169,0.514274765,0.033985582,0.378079277,0.130434783,0.22519084,0.70212766,0.160320088,0.408888889,0
,0.07896,0,12.83,0,0.437,6.273,6,4.2515,5,398,18.7,6.78,24.1,0,,0.000816456,0,0.453445748,0,0.106995885,0.519639778,0.03192585,0.283889096,0.173913043,0.402671756,0.64893617,0.139348786,0.424444444,0
,0.09512,0,12.83,0,0.437,6.286,45,4.5026,5,398,18.7,8.94,21.4,0,,0.000998091,0,0.453445748,0,0.106995885,0.522130676,0.433573635,0.306722804,0.173913043,0.402671756,0.64893617,0.198951435,0.364444444,0
,0.10153,0,12.83,0,0.437,6.279,74.5,4.0522,5,398,18.7,11.97,20,0,,0.001070137,0,0.453445748,0,0.106995885,0.520789423,0.73738414,0.265765807,0.173913043,0.402671756,0.64893617,0.282560706,0.333333333,0
,0.08707,0,12.83,0,0.437,6.14,45.8,4.0905,5,398,18.7,10.27,20.8,0,,0.000907611,0,0.453445748,0,0.106995885,0.494155969,0.441812564,0.269248606,0.173913043,0.402671756,0.64893617,0.235651214,0.351111111,0
,0.05646,0,12.83,0,0.437,6.232,53.7,5.0141,5,398,18.7,12.34,21.2,0,,0.000563562,0,0.453445748,0,0.106995885,0.511783867,0.523171988,0.353235912,0.173913043,0.402671756,0.64893617,0.292770419,0.36,0
,0.08387,0,12.83,0,0.437,5.874,36.6,4.5026,5,398,18.7,9.1,20.3,0,,0.000871643,0,0.453445748,0,0.106995885,0.44318835,0.347064882,0.306722804,0.173913043,0.402671756,0.64893617,0.203366446,0.34,0
,0.04113,25,4.86,0,0.426,6.727,33.5,5.4007,4,281,19,5.29,28,0,,0.000391256,0.25,0.161290323,0,0.08436214,0.606629623,0.315139032,0.388391274,0.130434783,0.179389313,0.680851064,0.098233996,0.511111111,0
,0.04462,25,4.86,0,0.426,6.619,70.4,5.4007,4,281,19,7.22,23.9,0,,0.000430483,0.25,0.161290323,0,0.08436214,0.585936003,0.695159629,0.388391274,0.130434783,0.179389313,0.680851064,0.151490066,0.42,0
,0.03659,25,4.86,0,0.426,6.302,32.2,5.4007,4,281,19,6.72,24.8,0,,0.000340228,0.25,0.161290323,0,0.08436214,0.525196398,0.301750772,0.388391274,0.130434783,0.179389313,0.680851064,0.137693157,0.44,0
,0.03551,25,4.86,0,0.426,6.167,46.7,5.4007,4,281,19,7.51,22.9,0,,0.000328089,0.25,0.161290323,0,0.08436214,0.499329373,0.451081359,0.388391274,0.130434783,0.179389313,0.680851064,0.159492274,0.397777778,0
,0.05059,0,4.49,0,0.449,6.389,48,4.7794,3,247,18.5,9.62,23.9,0,,0.000497584,0,0.147727273,0,0.131687243,0.541866258,0.464469619,0.331893534,0.086956522,0.114503817,0.627659574,0.217715232,0.42,0
,0.05735,0,4.49,0,0.449,6.63,56.1,4.4377,3,247,18.5,6.53,26.6,0,,0.000573565,0,0.147727273,0,0.131687243,0.588043687,0.547888774,0.300821141,0.086956522,0.114503817,0.627659574,0.132450331,0.48,0
,0.05188,0,4.49,0,0.449,6.015,45.1,4.4272,3,247,18.5,12.86,22.5,0,,0.000512083,0,0.147727273,0,0.131687243,0.47020502,0.434603502,0.299866326,0.086956522,0.114503817,0.627659574,0.307119205,0.388888889,0
,0.07151,0,4.49,0,0.449,6.121,56.8,3.7476,3,247,18.5,8.44,22.2,0,,0.00073272,0,0.147727273,0,0.131687243,0.490515424,0.555097837,0.238067092,0.086956522,0.114503817,0.627659574,0.185154525,0.382222222,0
,0.0566,0,3.41,0,0.489,7.007,86.3,3.4217,2,270,17.8,5.5,23.6,0,,0.000565135,0,0.10813783,0,0.21399177,0.660279747,0.858908342,0.208431467,0.043478261,0.158396947,0.553191489,0.104028698,0.413333333,0
,0.05302,0,3.41,0,0.489,7.079,63.1,3.4145,2,270,17.8,5.7,28.7,0,,0.000524897,0,0.10813783,0,0.21399177,0.674075493,0.619979403,0.207776737,0.043478261,0.158396947,0.553191489,0.109547461,0.526666667,0
,0.04684,0,3.41,0,0.489,6.417,66.1,3.0923,2,270,17.8,8.81,22.6,0,,0.000455435,0,0.10813783,0,0.21399177,0.54723127,0.650875386,0.178477571,0.043478261,0.158396947,0.553191489,0.195364238,0.391111111,0
,0.03932,0,3.41,0,0.489,6.405,73.9,3.0921,2,270,17.8,8.2,22,0,,0.000370912,0,0.10813783,0,0.21399177,0.544931979,0.731204943,0.178459384,0.043478261,0.158396947,0.553191489,0.178532009,0.377777778,0
,0.04203,28,15.04,0,0.464,6.442,53.6,3.6659,4,270,18.2,8.16,22.9,0,,0.000401372,0.28,0.534457478,0,0.16255144,0.55202146,0.522142122,0.230637725,0.130434783,0.158396947,0.595744681,0.177428256,0.397777778,0
,0.02875,28,15.04,0,0.464,6.211,28.9,3.6659,4,270,18.2,6.21,25,0,,0.000252108,0.28,0.534457478,0,0.16255144,0.507760107,0.267765191,0.230637725,0.130434783,0.158396947,0.595744681,0.123620309,0.444444444,0
,0.04294,28,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,10.59,20.6,0,,0.0004116,0.28,0.534457478,0,0.16255144,0.515041196,0.766220391,0.226009148,0.130434783,0.158396947,0.595744681,0.244481236,0.346666667,0
,0.12204,0,2.89,0,0.445,6.625,57.8,3.4952,2,276,18,6.65,28.4,0,,0.001300665,0,0.089076246,0,0.12345679,0.587085649,0.565396498,0.215115169,0.043478261,0.169847328,0.574468085,0.135761589,0.52,0
,0.11504,0,2.89,0,0.445,6.163,69.6,3.4952,2,276,18,11.34,21.4,0,,0.001221987,0,0.089076246,0,0.12345679,0.498562943,0.6869207,0.215115169,0.043478261,0.169847328,0.574468085,0.2651766,0.364444444,0
,0.12083,0,2.89,0,0.445,8.069,76,3.4952,2,276,18,4.21,38.7,1,,0.001287065,0,0.089076246,0,0.12345679,0.863767005,0.752832132,0.215115169,0.043478261,0.169847328,0.574468085,0.068432671,0.748888889,1
,0.08187,0,2.89,0,0.445,7.82,36.9,3.4952,2,276,18,3.57,43.8,1,,0.000849164,0,0.089076246,0,0.12345679,0.816056716,0.35015448,0.215115169,0.043478261,0.169847328,0.574468085,0.050772627,0.862222222,1
,0.0686,0,2.89,0,0.445,7.416,62.5,3.4952,2,276,18,6.19,33.2,1,,0.000700012,0,0.089076246,0,0.12345679,0.73864725,0.613800206,0.215115169,0.043478261,0.169847328,0.574468085,0.123068433,0.626666667,1
,0.14866,0,8.56,0,0.52,6.727,79.9,2.7778,5,384,20.9,9.42,27.5,0,,0.001599867,0,0.296920821,0,0.277777778,0.606629623,0.79299691,0.149878602,0.173913043,0.375954198,0.882978723,0.212196468,0.5,0
,0.11432,0,8.56,0,0.52,6.781,71.3,2.8561,5,384,20.9,7.67,26.5,0,,0.001213894,0,0.296920821,0,0.277777778,0.616976432,0.704428424,0.156998791,0.173913043,0.375954198,0.882978723,0.163907285,0.477777778,0
,0.22876,0,8.56,0,0.52,6.405,85.4,2.7147,5,384,20.9,10.63,18.6,0,,0.002500172,0,0.296920821,0,0.277777778,0.544931979,0.849639547,0.144140621,0.173913043,0.375954198,0.882978723,0.245584989,0.302222222,0
,0.21161,0,8.56,0,0.52,6.137,87.4,2.7147,5,384,20.9,13.44,19.3,0,,0.00230741,0,0.296920821,0,0.277777778,0.493581146,0.870236869,0.144140621,0.173913043,0.375954198,0.882978723,0.32312362,0.317777778,0
,0.1396,0,8.56,0,0.52,6.167,90,2.421,5,384,20.9,12.33,20.1,0,,0.001498035,0,0.296920821,0,0.277777778,0.499329373,0.897013388,0.117433095,0.173913043,0.375954198,0.882978723,0.292494481,0.335555556,0
,0.13262,0,8.56,0,0.52,5.851,96.7,2.1069,5,384,20.9,16.47,19.5,0,,0.001419582,0,0.296920821,0,0.277777778,0.438781376,0.966014418,0.0888705,0.173913043,0.375954198,0.882978723,0.406732892,0.322222222,0
,0.1712,0,8.56,0,0.52,5.836,91.9,2.211,5,384,20.9,18.66,19.5,0,,0.001853211,0,0.296920821,0,0.277777778,0.435907262,0.916580844,0.098336804,0.173913043,0.375954198,0.882978723,0.467163355,0.322222222,0
,0.13117,0,8.56,0,0.52,6.127,85.2,2.1224,5,384,20.9,14.09,20.4,0,,0.001403284,0,0.296920821,0,0.277777778,0.49166507,0.847579815,0.090279988,0.173913043,0.375954198,0.882978723,0.341059603,0.342222222,0
,0.12802,0,8.56,0,0.52,6.474,97.1,2.4329,5,384,20.9,12.27,19.8,0,,0.001367879,0,0.296920821,0,0.277777778,0.558152903,0.970133883,0.118515218,0.173913043,0.375954198,0.882978723,0.290838852,0.328888889,0
,0.26363,0,8.56,0,0.52,6.229,91.2,2.5451,5,384,20.9,15.55,19.4,0,,0.002892102,0,0.296920821,0,0.277777778,0.511209044,0.909371782,0.128718093,0.173913043,0.375954198,0.882978723,0.381346578,0.32,0
,0.10793,0,8.56,0,0.52,6.195,54.4,2.7778,5,384,20.9,13,21.7,0,,0.001142072,0,0.296920821,0,0.277777778,0.504694386,0.53038105,0.149878602,0.173913043,0.375954198,0.882978723,0.31098234,0.371111111,0
,0.10084,0,10.01,0,0.547,6.715,81.6,2.6775,6,432,17.8,10.16,22.8,0,,0.001062382,0,0.350073314,0,0.333333333,0.604330331,0.810504634,0.14075785,0.217391304,0.467557252,0.553191489,0.232615894,0.395555556,0
,0.12329,0,10.01,0,0.547,5.913,92.9,2.3534,6,432,17.8,16.21,18.8,0,,0.001314715,0,0.350073314,0,0.333333333,0.450661046,0.926879506,0.111285908,0.217391304,0.467557252,0.553191489,0.399558499,0.306666667,0
